,left_number,right_number,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
0,50000,100000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1664431890
0,50000,100000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662646041
0,50000,100000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,pool_jet,1662974737
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662645430
0,10000,50000,2022-10-21 11:05:17.701729,Jack Archer,jack.archer,firstnamejohnson,1662975298
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662645754
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1662974781
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,happilyheatherj,1664431617
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1664431479
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662975100
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,littlemrsspooner,1662645645
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662645610
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1662975339
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,the_vintage_bombshell,1664431640
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662645417
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1662974875
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,josie_ely,1664431885
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662975145
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1662645528
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,sonabonds,1664431621
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662645345
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1664431623
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,theregoesjonathan,1662975121
0,50000,100000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1664431845
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662645791
0,50000,100000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,mizzerybell,1662974792
0,50000,100000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1664432219
0,50000,100000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662974808
0,50000,100000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,soundslikemyexx,1662645536
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1664431478
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662645545
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,gyda.bell,1662975279
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1664431838
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662645635
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,big1500_,1662975245
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662645744
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1662974836
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,e_l_d,1664431549
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662974830
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1664431613
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,lisettejyoga,1662645669
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662646011
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1664431822
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,kimberlie.kathleen,1662974840
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1664431864
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662974792
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,satisfylagoon,1662645663
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662974735
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
0,50000,100000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
0,100000,500000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662975085
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827
0,10000,50000,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662645375
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1664431496
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662974788
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662974754
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662645746
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1664431725
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1664431828
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662974784
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662645465
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,gyda.bell,1664431445
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,gyda.bell,1662974787
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,gyda.bell,1662645366
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1664431675
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662975183
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,big1500_,1662645393
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662974754
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1664431439
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,e_l_d,1662645720
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662645841
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1664431677
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662974792
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,itsambaslife,1664431429
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,itsambaslife,1662645508
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,itsambaslife,1662974784
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662645451
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662974788
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1664431627
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,kimberlie.kathleen,1664431905
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,kimberlie.kathleen,1662975034
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,kimberlie.kathleen,1662645716
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,cecilialhoward,1662974758
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,cecilialhoward,1662646371
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,cecilialhoward,1664431801
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,txylorwillixms,1662974786
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,txylorwillixms,1664431437
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,txylorwillixms,1662645784
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,justbeingmelani,1662975149
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,justbeingmelani,1664431802
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,justbeingmelani,1662645473
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,katiexfelton,1664431672
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,katiexfelton,1662645591
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,katiexfelton,1662974789
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662645466
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1664431435
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662974786
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662974755
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1664431506
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662645931
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,tasneemmahmoodd,1662645709
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,tasneemmahmoodd,1662974789
0,10000,50000,2022-10-21 11:05:17.701729,Necklow,necklowco,tasneemmahmoodd,1664431626
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1664431668
0,100000,500000,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662645423
0,50000,100000,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662975091
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1664431704
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662645855
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662975306
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662975315
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662645418
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1664432559
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,meant2beaaa,1662974867
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,meant2beaaa,1664432409
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,meant2beaaa,1662646235
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,dinofresh.official,1662974773
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,dinofresh.official,1664431769
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,dinofresh.official,1662645957
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662645904
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1664431870
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662975192
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662645397
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1664431836
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662975218
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,callaqhill,1662975113
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,callaqhill,1662646047
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,callaqhill,1664431544
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,mskaimichelle,1662645971
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,mskaimichelle,1664431709
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,mskaimichelle,1662975258
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,vivid_dunya,1662645755
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,vivid_dunya,1662975194
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,vivid_dunya,1664431461
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,bpeppersart,1664431850
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,bpeppersart,1662645757
0,50000,100000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,bpeppersart,1662975326
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,tukidailyshow,1664432117
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,tukidailyshow,1662975310
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,tukidailyshow,1662645472
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,soogabooga,1662975173
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,soogabooga,1662645522
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,soogabooga,1664431703
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,iice.amber,1664431536
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,iice.amber,1662975347
0,10000,50000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,iice.amber,1662646244
0,100000,500000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,theankitaagrawal,1662975261
0,100000,500000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,theankitaagrawal,1662645764
0,100000,500000,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,theankitaagrawal,1664432416
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,christinadahlmusic,1662974934
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,christinadahlmusic,1662645818
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,christinadahlmusic,1664431544
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,lanchaic,1662975220
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,lanchaic,1664431869
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,lanchaic,1662645951
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,kaymcre,1663087029
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,kaymcre,1664431567
0,100000,500000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,ashleynelltipton,1662975322
0,100000,500000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,ashleynelltipton,1662645381
0,100000,500000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,ashleynelltipton,1664431640
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,the_vintage_bombshell,1664431721
0,10000,50000,2022-10-21 11:05:17.701729,Hereafter,from_hereafter,the_vintage_bombshell,1662975303
