,id,name,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
9,130,Jewellery & Watches,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1664431913
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
1,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
2,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
3,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
4,7,Shopping & Retail,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
5,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
6,36,Art & Design,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
8,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
9,1708,"Friends, Family & Relationships",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
10,58,Business & Careers,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1664431628
0,25,Electronics & Computers,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
1,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
2,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
3,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
4,7,Shopping & Retail,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
5,139,"Restaurants, Food & Grocery",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
6,36,Art & Design,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,athomewithastra,1662645713
