,max,total,min,median,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
5,0.7174,38491,0.6923,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
6,0.7372,34638,0.7174,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
7,0.7535,31488,0.7372,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
8,0.7674,28868,0.7535,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
9,0.7797,26649,0.7674,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
10,0.7907,24744,0.7797,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
11,0.8012,23088,0.7907,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
12,0.8113,21648,0.8012,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
13,0.821159,20371,0.8113,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
14,0.8311,19245,0.821159,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
15,0.8417,18228,0.8311,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
16,0.85324,17319,0.8417,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
17,0.8667,16496,0.85324,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
18,0.885207,15749,0.8667,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
19,,15070,0.885207,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
0,0.362,71540,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
1,0.5484,57232,0.362,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
2,0.6265,47690,0.5484,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
3,0.6714,40876,0.6265,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
4,0.7027,35770,0.6714,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
5,0.726,31799,0.7027,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
6,0.7445,28616,0.726,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
7,0.7596,26014,0.7445,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
8,0.7725,23849,0.7596,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
9,0.7838,22016,0.7725,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
10,0.7942,20442,0.7838,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
11,0.804,19074,0.7942,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
12,0.8134,17885,0.804,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
13,0.8226,16829,0.8134,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
14,0.832,15899,0.8226,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
15,0.8418,15059,0.832,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
16,0.8524,14308,0.8418,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
17,0.8652,13628,0.8524,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
18,0.8826,13011,0.8652,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
19,,12451,0.8826,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
0,0.3649,69926,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
1,0.5488,55941,0.3649,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
2,0.6262,46614,0.5488,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
3,0.6711,39954,0.6262,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
4,0.7025,34963,0.6711,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
5,0.7259,31082,0.7025,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
6,0.7445,27970,0.7259,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
7,0.7597,25427,0.7445,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
8,0.7726,23311,0.7597,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
9,0.784,21519,0.7726,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
10,0.7945,19981,0.784,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
11,0.8042,18644,0.7945,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
12,0.8136,17481,0.8042,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
13,0.8228,16450,0.8136,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
14,0.8321,15541,0.8228,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
15,0.842,14719,0.8321,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
16,0.8527,13985,0.842,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
17,0.8655,13321,0.8527,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
18,0.8831,12717,0.8655,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
19,,12168,0.8831,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
0,0.362,71540,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
1,0.5484,57232,0.362,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
2,0.6265,47690,0.5484,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
3,0.6714,40876,0.6265,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
4,0.7027,35770,0.6714,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
5,0.726,31799,0.7027,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
6,0.7445,28616,0.726,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
7,0.7596,26014,0.7445,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
8,0.7725,23849,0.7596,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
9,0.7838,22016,0.7725,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
10,0.7942,20442,0.7838,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
11,0.804,19074,0.7942,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
12,0.8134,17885,0.804,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
13,0.8226,16829,0.8134,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
14,0.832,15899,0.8226,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
15,0.8418,15059,0.832,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
16,0.8524,14308,0.8418,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
17,0.8652,13628,0.8524,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
18,0.8826,13011,0.8652,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
19,,12451,0.8826,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1664431578
