,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
45,hispanic,Hispanic,0.067085,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
46,asian,Asian,0.040562,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
47,african_american,African American,0.040562,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1664431468
48,asian,Asian,0.040577,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
49,white,White / Caucasian,0.852126,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
50,african_american,African American,0.040577,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
51,hispanic,Hispanic,0.066719,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662974796
52,white,White / Caucasian,0.852126,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
53,hispanic,Hispanic,0.066719,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
54,asian,Asian,0.040577,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
55,african_american,African American,0.040577,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,its.sage.thyme,1662645368
56,white,White / Caucasian,0.254386,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
57,hispanic,Hispanic,0.077466,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
58,asian,Asian,0.042909,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
59,african_american,African American,0.625239,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1663087087
60,african_american,African American,0.625239,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Shawnteltheprototype,1664431999
