,max,total,min,median,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
12,0.890136,18439,0.88504,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
13,0.89511,17351,0.890136,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
14,0.900151,16392,0.89511,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
15,0.905405,15525,0.900151,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
16,0.911281,14751,0.905405,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
17,0.918241,14050,0.911281,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
18,0.927825,13414,0.918241,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
19,,12834,0.927825,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,chelseaericasmith,1662645609
0,0.693559,62776,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
1,0.757988,50221,0.693559,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
2,0.793683,41848,0.757988,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
3,0.816277,35868,0.793683,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
4,0.831597,31388,0.816277,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
5,0.843322,27904,0.831597,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
6,0.852704,25110,0.843322,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
7,0.860533,22827,0.852704,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
8,0.867296,20928,0.860533,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
9,0.873435,19319,0.867296,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
10,0.879038,17938,0.873435,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
11,0.884322,16737,0.879038,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
12,0.889431,15694,0.884322,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
13,0.894487,14768,0.889431,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
14,0.899511,13952,0.894487,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
15,0.904812,13214,0.899511,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
16,0.910603,12555,0.904812,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
17,0.917534,11958,0.910603,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
18,0.927223,11417,0.917534,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
19,,10921,0.927223,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662975050
0,0.694406,62724,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
1,0.758816,50179,0.694406,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,kasey.moore_,1662646222
